QueryText,ExecutionCount,IndexOfQuery,SuccessCount
SELECT * FROM Person.Person;,6,0,6
SELECT COUNT(*) FROM Sales.SalesOrderHeader;,6,1,6
SELECT * FROM Production.Product;,6,2,6
SELECT COUNT(*) FROM HumanResources.Employee;,6,3,6
"SELECT FirstName, LastName FROM Person.Person;",6,4,6
SELECT AVG(ListPrice) FROM Production.Product;,6,5,6
SELECT MAX(OrderQty) FROM Sales.SalesOrderDetail;,6,6,6
SELECT * FROM Production.ProductModel;,6,7,6
SELECT DISTINCT Name FROM Production.ProductCategory;,6,8,6
SELECT COUNT(DISTINCT TerritoryID) FROM Sales.SalesTerritory;,6,9,6
"SELECT AddressLine1, City, StateProvinceID FROM Person.Address;",6,10,6
SELECT Name FROM HumanResources.Department WHERE GroupName = 'Research and Development';,6,11,6
"SELECT ProductID, Name FROM Production.Product WHERE ListPrice > 1000;",6,12,6
"SELECT SalesOrderID, OrderDate FROM Sales.SalesOrderHeader WHERE OrderDate > '2022-01-01';",6,13,6
"SELECT BusinessEntityID, LoginID FROM HumanResources.Employee WHERE JobTitle = 'Engineering Manager';",6,14,6
SELECT * FROM Sales.SalesPerson;,6,15,6
"SELECT CountryRegionCode, Name FROM Person.CountryRegion WHERE Name LIKE 'C%';",6,16,6
SELECT EmailAddress FROM Person.EmailAddress WHERE BusinessEntityID = 1;,6,17,6
SELECT PhoneNumber FROM Person.PersonPhone WHERE PhoneNumberTypeID = 1;,6,18,6
"SELECT DepartmentID, Name FROM HumanResources.Department ORDER BY Name;",6,19,6
"SELECT BusinessEntityID, NationalIDNumber FROM HumanResources.Employee ORDER BY HireDate DESC;",6,20,6
"SELECT JobTitle, COUNT(*) FROM HumanResources.Employee GROUP BY JobTitle;",6,21,6
"SELECT StateProvinceID, Name FROM Person.StateProvince WHERE CountryRegionCode = 'US';",6,22,6
"SELECT Name, DaysToManufacture FROM Production.Product WHERE DaysToManufacture < 4;",6,23,6
SELECT ProductNumber FROM Production.Product WHERE MakeFlag = 1;,6,24,6
"SELECT ContactTypeID, Name FROM Person.ContactType;",6,25,6
SELECT SalesOrderDetailID FROM Sales.SalesOrderDetail ORDER BY LineTotal DESC;,6,26,6
"SELECT DocumentNode, Title FROM Production.Document;",6,27,6
SELECT COUNT(*) FROM Sales.Currency;,6,28,6
"SELECT BusinessEntityID, ContactTypeID FROM Person.BusinessEntityContact;",6,29,6
"SELECT TerritoryID, Name, CountryRegionCode FROM Sales.SalesTerritory;",6,30,6
"SELECT SpecialOfferID, Description FROM Sales.SpecialOffer WHERE DiscountPct = 0.1;",6,31,6
SELECT * FROM Production.ProductReview WHERE Rating > 4;,6,32,6
SELECT ProductPhotoID FROM Production.ProductProductPhoto WHERE ProductID = 747;,6,33,6
"SELECT CreditCardID, CardNumber FROM Sales.CreditCard;",6,34,6
"SELECT Name, ListPrice FROM Production.Product WHERE ListPrice BETWEEN 100 AND 200;",6,35,6
SELECT * FROM Sales.SalesReason WHERE Name LIKE '%Marketing%';,6,36,6
"SELECT SalesOrderDetailID, LineTotal FROM Sales.SalesOrderDetail WHERE ProductID = 750;",6,37,6
"SELECT BusinessEntityID, Name FROM Sales.Store WHERE Demographics IS NOT NULL;",6,38,6
SELECT ReviewDate FROM Production.ProductReview ORDER BY ReviewDate DESC;,6,39,6
SELECT * FROM Person.AddressType;,6,40,6
"SELECT ShiftID, StartTime, EndTime FROM HumanResources.Shift;",6,41,6
SELECT * FROM Sales.SalesOrderHeader WHERE TotalDue > 5000;,6,42,6
SELECT * FROM HumanResources.EmployeeDepartmentHistory WHERE EndDate IS NULL;,6,43,6
SELECT * FROM Production.ProductCostHistory WHERE ProductID BETWEEN 700 AND 800;,6,44,6
SELECT * FROM Purchasing.ProductVendor WHERE MinOrderQty > 10;,6,45,6
"SELECT * FROM Person.StateProvince WHERE StateProvinceCode IN ('WA', 'OR');",6,46,6
SELECT * FROM Purchasing.PurchaseOrderHeader WHERE Freight > 70;,6,47,6
SELECT * FROM HumanResources.JobCandidate WHERE Resume IS NOT NULL;,6,48,6
SELECT * FROM Person.Address WHERE AddressLine1 LIKE '%Street%';,6,49,6
